Sample #	IPM#	Study 	LPConcentation	BioAsize	RNAQuant
1	IPM0802	2001	10.93	395	0.119
2	IPM0803	2002	16.33	336	0.553
3	IPM0804	2003	18.88	298	0.488
4	IPM0805	2007	10.71	392	2.04
5	IPM0806	2008	12.74	292	0.262
6	IPM0807	2012	12.41	293	0.105
7	IPM0808	2013	8.7	287	0.105
8	IPM0809	2017	15.18	294	3.772
9	IPM0810	2021	0	0	0.076
10	IPM0811	2022	0.89	295	0.13
11	IPM0812	2023	4.69	305	3.2
12	IPM0813	2030	0.41	265	0.009
13	IPM0814	2031	10.51	307	0.026
14	IPM0815	2032	10.66	300	0.031
15	IPM0816	2033	9.72	300	0
16	IPM0817	2034	4.76	304	0.013
17	IPM0818	2035	17.95	342	0.023
18	IPM0819	2036	17.92	376	0.031
19	IPM0820	2037	13.33	296	0.033
20	IPM0821	2038	15.81	296	0.002
21	IPM0822	2039	15.62	297	0.018
22	IPM0823	2040	25.48	296	0.204
23	IPM0824	2041	23.85	286	0.027
24	IPM0825	2042	24.53	292	0.005
25	IPM0826	2043	2.37	273	0.006
26	IPM0827	2044	1.32	274	0.084
27	IPM0828	2045	1.53	278	0.257
28	IPM0829	2046	2.62	274	0.043
29	IPM0830	2047	20.5	377	5.996
30	IPM0831	2048	19.28	357	9.212
31	IPM0832	2049	20.39	374	3.524
32	IPM0833	2050	14.58	326	1.898
33	IPM0834	2051	5.14	291	14.725
34	IPM0835	2052	4.72	305	4.519
35	IPM0836	2053	9.2	306	9.805
36	IPM0837	2054	4.95	285	14.27
37	IPM0838	2055	2.13	311	7.229
38	IPM0839	2056	15.71	300	13.049
39	IPM0840	2057	12	300	0.807
40	IPM0841	2058	11.4	288	0.986
41	IPM0842	2059	31.86	299	7.048
42	IPM0843	2060	18.96	379	0.234
43	IPM0844	2061	22.68	424	0.12
44	IPM0845	2062	17.07	391	0.188
45	IPM0846	2063	19.8	289	0.139
46	IPM0847	2064	15.51	282	0.233
47	IPM0848	2065	21.97	283	0.197
48	IPM0849	2066	25.22	279	6.656
49	IPM0850	2067	27.71	341	0.257
50	IPM0851	2068	23.58	322	0.224
51	IPM0852	2069	15.66	301	0.157
52	IPM0853	2070	20.99	321	1.212
53	IPM0854	2071	20.89	298	0.214
54	IPM0855	2072	29.59	336	6.578
55	IPM0856	2073	25.57	333	1.703
56	IPM0857	2074	29.84	322	2.966
57	IPM0858	2075	15.89	304	0.07
58	IPM0859	2076	19.89	353	3.983
59	IPM0860	2077	23.01	387	0.493
60	IPM0861	2078	16.97	285	1.539
61	IPM0862	2079	27.16	314	0.36
62	IPM0863	2080	28.79	300	0.04
63	IPM0864	2081	20.08	250	0.084
64	IPM0865	2082	17.39	253	0.177
65	IPM0866	2083	6.14	225	0.087
66	IPM0867	2084	20.74	268	0.156
67	IPM0868	2085	0.77	229	0.078
68	IPM0869	2086	8.06	247	0.17
69	IPM0870	2087	0.97	224	0.111
70	IPM0871	2088	4.42	233	0.065
71	IPM0872	2089	5.74	231	0.229
72	IPM0873	2090	11.38	229	3.201
73	IPM0874	2091	5.78	322	0.046
74	IPM0875	2092	2.75	314	0.04
75	IPM0876	2093	1.14	286	0.004
76	IPM0877	2094	15.32	335	0.081
77	IPM0878	2095	14.12	289	0.296
78	IPM0879	2096	15.42	328	1.044
79	IPM0880	2097	16.73	287	0.076
80	IPM0881	2098	16.6	295	0.131
81	IPM0882	2099	1.56	270	0.099
82	IPM0883	2100	0.98	259	0.81
83	IPM0884	Water_1	5.18	305	0
84	IPM0885	Water_2	11.6	387	0
85	IPM0886	Water_3	5	285	0
86	IPM0887	Water_4	4.74	284	0
87	IPM0888	Water_5	5.69	278	0
88	IPM0889	NTC	6.39	267	0
89	IPM0890	2004	19.94	356	0.209
90	IPM0891	2005	10.13	376	0.155
91	IPM0892	2006	2.2	326	0.138
92	IPM0893	2009	3.8	321	0.207
93	IPM0894	2010	5.4	307	0.094
94	IPM0895	2011	1.6	289	0.182
95	IPM0896	2014	11.6	305	0.294
96	IPM0897	2015	9.9	293	0.05
97	IPM0898	2016	9.3	298	0.079
98	IPM0899	2018	8.9	298	0.157
99	IPM0900	2019	10.1	313	0.085
100	IPM0901	2020	2.1	282	0.136
101	IPM0902	2024	3.09	285	0.632
102		2025	0.13	253	0.026
103	IPM0903	2026	3.35	298	0.104
104	IPM0904	2027	2.57	293	0.081
105	IPM0905	2028	6.11	297	0.722
106	IPM0906	2029	9.47	290	0.024
