genes	Symbol	logFC	logCPM	LR	PValue	FDR	threshold
CXCL8	ENSG00000169429	CXCL8	5.59053896342779	11.2325136582134	162.919209316807	2.60538031243964e-37	2.77212465243578e-33	TRUE
AQP9	ENSG00000103569	AQP9	4.53061315945353	9.83567939839724	160.865416287423	7.32096604283057e-37	3.89475393478586e-33	TRUE
G0S2	ENSG00000123689	G0S2	5.1359599704717	9.39960548368246	159.214396849961	1.67994755654746e-36	5.95821400055499e-33	TRUE
CSF3R	ENSG00000119535	CSF3R	4.27881715917408	10.5855769663048	141.772933859833	1.09026202626063e-32	2.71078776296987e-29	TRUE
CSF2RB	ENSG00000100368	CSF2RB	3.67885898337158	9.47108232555866	141.463809566792	1.27386642996704e-32	2.71078776296987e-29	TRUE
SOD2	ENSG00000112096	SOD2	4.56892089321588	11.9281593632219	139.36092843638	3.67253658667245e-32	6.20498112303073e-29	TRUE
MXD1	ENSG00000059728	MXD1	3.97741330398339	9.33224339251552	139.150896855557	4.08222442304654e-32	6.20498112303073e-29	TRUE
LRG1	ENSG00000171236	LRG1	3.98889496924785	8.31928243055348	132.696754476355	1.05332512202873e-30	1.40092241229821e-27	TRUE
NAMPT	ENSG00000105835	NAMPT	4.22499057234389	11.0901742435389	131.578185804563	1.85040980707851e-30	2.18759559414615e-27	TRUE
C15orf48	ENSG00000166920	C15orf48	4.0130194767707	8.48369393543066	131.053016695798	2.41080803778014e-30	2.56509975219807e-27	TRUE
NFKBIA	ENSG00000100906	NFKBIA	3.81962560028447	9.94938072935613	129.85681454343	4.40429446883465e-30	4.02469516984852e-27	TRUE
BCL2A1	ENSG00000140379	BCL2A1	3.73720906501093	8.5906096369042	129.796958228879	4.53912989080661e-30	4.02469516984852e-27	TRUE
DOCK5	ENSG00000147459	DOCK5	3.49889488580401	8.98292500117107	128.26480323134	9.82235998297209e-30	8.03922386298639e-27	TRUE
ADM	ENSG00000148926	ADM	3.51183630403523	8.1013588176679	128.064051827622	1.08678460759459e-29	8.25956301771889e-27	TRUE
LIMK2	ENSG00000182541	LIMK2	3.54893891216763	8.77286798526673	126.980388837557	1.87618358707287e-29	1.33083955776369e-26	TRUE
TNFAIP3	ENSG00000118503	TNFAIP3	3.4394308923533	9.4184144117682	126.654702085539	2.21078501696156e-29	1.47017203627944e-26	TRUE
IL1B	ENSG00000125538	IL1B	3.75080477173542	9.15314490604402	126.438943984696	2.46469046597005e-29	1.54260626811302e-26	TRUE
FCGR3B	ENSG00000162747	FCGR3B	4.06463282815751	9.08887052070432	124.951144061243	5.21632911251992e-29	3.08343009762289e-26	TRUE
IFITM2	ENSG00000185201	IFITM2	3.24871262514527	8.60638971964987	123.938494686325	8.68957811178412e-29	4.62423752082477e-26	TRUE
SLC2A3	ENSG00000059804	SLC2A3	3.70926683703774	9.99105037215765	123.937901602854	8.69217579102401e-29	4.62423752082477e-26	TRUE
TNIP1	ENSG00000145901	TNIP1	3.59474384136782	9.55710250536301	122.245988660409	2.03920483027569e-28	1.00305325617537e-25	TRUE
SOCS3	ENSG00000184557	SOCS3	2.89580705834096	8.58658918967066	122.212437573332	2.07398229660322e-28	1.00305325617537e-25	TRUE
IRAK3	ENSG00000090376	IRAK3	3.2626615869443	8.94767170283561	121.446595557892	3.05104782415155e-28	1.41144125430315e-25	TRUE
S100A8	ENSG00000143546	S100A8	3.63237599387357	9.31444681648187	121.196848287698	3.46035672944953e-28	1.53409148338929e-25	TRUE
FFAR2	ENSG00000126262	FFAR2	3.79931197249988	8.22582965348564	119.987653702414	6.36556303682902e-28	2.70918362847443e-25	TRUE
NIBAN1	ENSG00000135842	NIBAN1	3.22933987735586	8.94593266872292	118.642698430169	1.25400281615086e-27	5.13176537070968e-25	TRUE
EHD1	ENSG00000110047	EHD1	3.07701411749613	8.5401835552058	117.434299850651	2.306140654376e-27	9.08790243057801e-25	TRUE
FPR2	ENSG00000171049	FPR2	3.42277874801465	8.30620512062018	117.09179376706	2.74084143727944e-27	1.04151974616619e-24	TRUE
LILRB3	ENSG00000204577	LILRB3	2.91874761053155	7.86327683885289	116.583998820012	3.54061279836068e-27	1.29903862670888e-24	TRUE
BHLHE40	ENSG00000134107	BHLHE40	3.22034074418559	8.62253361834748	116.038862182068	4.66073383869642e-27	1.653006934791e-24	TRUE
TMEM154	ENSG00000170006	TMEM154	3.30433424225872	8.44311193829999	114.231115375399	1.15972293606291e-26	3.98046839990624e-24	TRUE
GK	ENSG00000198814	GK	2.99324697499929	8.48684910039806	112.98106397132	2.17845459892336e-26	7.24336154142019e-24	TRUE
KCNJ15	ENSG00000157551	KCNJ15	3.32051666612845	7.78997278211673	112.873669603378	2.2997038200026e-26	7.41480261964475e-24	TRUE
CPD	ENSG00000108582	CPD	3.14663254405152	8.85473946035453	111.735480258713	4.08309796542953e-26	1.27776948094618e-23	TRUE
SMIM25	ENSG00000224397	SMIM25	3.03864130793073	7.82821719621582	110.840020433532	6.41436405554376e-26	1.81820062592404e-23	TRUE
LOC400499	ENSG00000188897	LOC400499	3.63777582736491	7.98235445942173	110.839199640672	6.41702037703745e-26	1.81820062592404e-23	TRUE
SBNO2	ENSG00000064932	SBNO2	2.90139776296401	8.55091683988431	110.829501111651	6.44849103275559e-26	1.81820062592404e-23	TRUE
FGR	ENSG00000000938	FGR	3.15653066528627	8.75167317914713	110.815689851246	6.49357366401443e-26	1.81820062592404e-23	TRUE
PPP1R15A	ENSG00000087074	PPP1R15A	3.5222301784121	8.76135116215086	110.753087857331	6.70190405165176e-26	1.82841690024551e-23	TRUE
NFKB2	ENSG00000077150	NFKB2	2.97441488863212	8.29218520711263	109.812753785349	1.07698222534853e-25	2.86477271942708e-23	TRUE
SERPINA1	ENSG00000197249	SERPINA1	3.40621781230229	10.0126538440656	107.535256217713	3.39806478953876e-25	8.6830167833467e-23	TRUE
LYN	ENSG00000254087	LYN	3.01962777281047	9.38408084787627	107.518158447834	3.42750662500528e-25	8.6830167833467e-23	TRUE
ACSL1	ENSG00000151726	ACSL1	3.25436158334009	9.79622521280805	107.422843995395	3.59637302139026e-25	8.89893231339357e-23	TRUE
BCL6	ENSG00000113916	BCL6	2.85270417887596	8.22360368852845	106.892754080131	4.69923658758771e-25	1.13636084754394e-22	TRUE
NCF1	ENSG00000158517	NCF1	3.26494061867081	8.43894030338738	106.534980214506	5.62900832768925e-25	1.33094774681364e-22	TRUE
IVNS1ABP	ENSG00000116679	IVNS1ABP	3.26619163349864	9.86420029934152	106.082381071809	7.07327274297982e-25	1.63607873881098e-22	TRUE
FPR1	ENSG00000171051	FPR1	3.21925838708489	9.21685076247715	105.810104481764	8.11507435481701e-25	1.83711470500538e-22	TRUE
FLOT1	ENSG00000137312	FLOT1	2.92633412487621	8.67366033845809	105.542456536079	9.28862737603638e-25	2.05897906835473e-22	TRUE
HCAR3	ENSG00000255398	HCAR3	3.72772332874449	8.13370053059689	105.402450936549	9.96865099730927e-25	2.16462135941573e-22	TRUE
FNDC3B	ENSG00000075420	FNDC3B	2.9525195468374	9.21293565815222	105.291218147711	1.05442429746879e-24	2.24381490501359e-22	TRUE
STEAP4	ENSG00000127954	STEAP4	3.31811813124869	8.02433469003436	104.462471554162	1.60199111794187e-24	3.34219323429441e-22	TRUE
PIK3AP1	ENSG00000155629	PIK3AP1	3.10908328886601	9.73512680936112	103.657882705284	2.40448744473694e-24	4.8439456512454e-22	TRUE
IL1RN	ENSG00000136689	IL1RN	3.29946853267529	8.18281194198206	103.65098961605	2.41286766462412e-24	4.8439456512454e-22	TRUE
CR1	ENSG00000203710	CR1	2.8759119821397	8.66304387419481	103.193925256837	3.03896507091605e-24	5.98788673232348e-22	TRUE
ZC3H12A	ENSG00000163874	ZC3H12A	3.05944458533669	7.96362759505818	103.048259718554	3.27082745018372e-24	6.32756437635542e-22	TRUE
PLIN2	ENSG00000147872	PLIN2	3.26950411939829	9.10440618433243	102.642564937904	4.01415203946093e-24	7.62688887497578e-22	TRUE
NBN	ENSG00000104320	NBN	2.51521693163567	7.93238376706952	102.571560751843	4.1606353177054e-24	7.76651925971674e-22	TRUE
SULF2	ENSG00000196562	SULF2	2.7383649461003	8.19605075330568	102.441908103104	4.44204449010691e-24	8.14885403012716e-22	TRUE
S100A9	ENSG00000163220	S100A9	3.52765946605922	10.5031689012522	102.055204401465	5.39958604916703e-24	9.73755857002326e-22	TRUE
NEAT1	ENSG00000245532	NEAT1	3.66536336392483	12.6843225837033	101.628223610005	6.69840679835088e-24	1.18785080557422e-21	TRUE
CEBPB	ENSG00000172216	CEBPB	2.64787840123311	8.11603930635103	101.519498878643	7.07634278813848e-24	1.23429979124251e-21	TRUE
RALGDS	ENSG00000160271	RALGDS	3.46070979090564	9.46430794601435	101.480991737719	7.21525051736179e-24	1.23823008878596e-21	TRUE
ECE1	ENSG00000117298	ECE1	2.87953307798306	7.98516166227675	101.178131548282	8.40724052990501e-24	1.41988951171729e-21	TRUE
LILRB2	ENSG00000131042	LILRB2	2.56178578817083	8.39795222965948	100.503531436905	1.18186048787504e-23	1.96484306109225e-21	TRUE
NFKBIZ	ENSG00000144802	NFKBIZ	2.76029747357512	8.42630559148316	100.310261494443	1.30299961959936e-23	2.13291014654419e-21	TRUE
KIFC3	ENSG00000140859	KIFC3	2.59270758288398	7.62914992910744	99.9191169603114	1.58749539380755e-23	2.55923499850187e-21	TRUE
ADGRG3	ENSG00000182885	ADGRG3	3.31209788137249	7.81441732860327	99.8644737350031	1.63190403765291e-23	2.59156103889954e-21	TRUE
APOBR	ENSG00000184730	APOBR	3.20763848570088	7.89882032693901	99.4462345642024	2.01561694862512e-23	3.15384769608401e-21	TRUE
VNN2	ENSG00000112303	VNN2	3.09443241687175	7.90699051667723	99.1071323855006	2.39205179733235e-23	3.6850741950414e-21	TRUE
LRRK2	ENSG00000188906	LRRK2	2.77652108228779	9.08141016557199	99.0805379307049	2.4243909177904e-23	3.6850741950414e-21	TRUE
ZDHHC18	ENSG00000204160	ZDHHC18	2.7731773925617	7.95094360227976	98.8100518633933	2.77920211730885e-23	4.16488880678397e-21	TRUE
ZFP36L1	ENSG00000185650	ZFP36L1	3.01086850211001	9.47796337942215	98.2824380899536	3.62768968331842e-23	5.36091919868166e-21	TRUE
HCAR2	ENSG00000182782	HCAR2	3.55614554502686	7.96345706296329	98.0104547341325	4.16179460721016e-23	6.06595816722139e-21	TRUE
DENND3	ENSG00000105339	DENND3	2.78049542884676	8.89993008417299	97.3336415150827	5.85765971466391e-23	8.42236477892216e-21	TRUE
PLEK	ENSG00000115956	PLEK	2.93680162994525	9.39319408925812	97.0887137199193	6.62896809288715e-23	9.4042960677759e-21	TRUE
IL1RAP	ENSG00000196083	IL1RAP	2.76324115861108	7.69907644494446	96.5548118160286	8.68070745799456e-23	1.21529904411924e-20	TRUE
PFKFB3	ENSG00000170525	PFKFB3	2.69075598532527	8.82421211520374	96.3552351652653	9.60136711526479e-23	1.32673436501841e-20	TRUE
ICAM1	ENSG00000090339	ICAM1	2.75220008764919	8.92438386591176	96.3039392998401	9.85337877952528e-23	1.34410192582242e-20	TRUE
KDM6B	ENSG00000132510	KDM6B	3.24914350988818	8.10579116938513	96.2111158807055	1.0326348719481e-22	1.39078924525668e-20	TRUE
ADAM8	ENSG00000151651	ADAM8	2.85623102423957	8.64870632874443	95.9845415835296	1.15784015969514e-22	1.53992741239454e-20	TRUE
DYSF	ENSG00000135636	DYSF	2.761652595387	8.39908901255964	95.4475739921472	1.5186007910934e-22	1.99480400212762e-20	TRUE
AMPD3	ENSG00000133805	AMPD3	2.64370821730607	8.2298018829526	95.3756675545762	1.5747742136398e-22	2.04336556501555e-20	TRUE
